symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-03-28 00:00:00+00:00,166.48,170.02,165.19,167.25,41668545,39.6235040379,40.4660509161,39.3164742432,39.8067698843,166674180,0.0,1.0
AAPL,2018-03-29 00:00:00+00:00,167.78,171.75,166.9,167.81,38398505,39.9329139084,40.8778040515,39.7234672268,39.9400541362,153594020,0.0,1.0
AAPL,2018-04-02 00:00:00+00:00,166.68,168.94,164.47,166.64,37586791,39.6711055564,40.209002716,39.1451087765,39.6615852527,150347164,0.0,1.0
AAPL,2018-04-03 00:00:00+00:00,168.39,168.75,164.88,167.64,30278046,40.07809854,40.1637812734,39.2426918895,39.8995928454,121112184,0.0,1.0
AAPL,2018-04-04 00:00:00+00:00,171.61,172.01,164.77,164.88,34605489,40.8444829886,40.9396860257,39.2165110543,39.2426918895,138421956,0.0,1.0
AAPL,2018-04-05 00:00:00+00:00,172.8,174.23,172.08,172.58,26933197,41.1277120239,41.4680628815,40.9563465572,41.0753503535,107732788,0.0,1.0
AAPL,2018-04-06 00:00:00+00:00,168.38,172.48,168.2,170.97,35005290,40.075718464,41.0515495942,40.0328770974,40.6921581292,140021160,0.0,1.0
AAPL,2018-04-09 00:00:00+00:00,170.05,173.09,169.85,169.88,29017718,40.4731911439,41.1967342258,40.4255896254,40.4327298531,116070872,0.0,1.0
AAPL,2018-04-10 00:00:00+00:00,173.25,174.0,171.53,173.0,28614241,41.2348154406,41.4133211352,40.8254423811,41.1753135425,114456964,0.0,1.0
AAPL,2018-04-11 00:00:00+00:00,172.44,173.92,171.7,172.23,22431640,41.0420292905,41.3942805278,40.8659036719,40.9920476961,89726560,0.0,1.0
AAPL,2018-04-12 00:00:00+00:00,174.14,175.0,173.04,173.41,22889285,41.4466421982,41.6513287279,41.1848338462,41.2728966555,91557140,0.0,1.0
AAPL,2018-04-13 00:00:00+00:00,174.73,175.84,173.85,174.78,25124255,41.5870666779,41.8512551058,41.3776199963,41.5989670575,100497020,0.0,1.0
AAPL,2018-04-16 00:00:00+00:00,175.82,176.19,174.83,175.03,21578420,41.846494954,41.9345577633,41.6108674372,41.6584689557,86313680,0.0,1.0
AAPL,2018-04-17 00:00:00+00:00,178.24,178.94,176.41,176.49,26605442,42.4224733284,42.5890786433,41.9869194337,42.0059600411,106421768,0.0,1.0
AAPL,2018-04-18 00:00:00+00:00,177.84,178.82,176.88,177.81,20754538,42.3272702913,42.5605177322,42.0987830023,42.3201300635,83018152,0.0,1.0
AAPL,2018-04-19 00:00:00+00:00,172.8,175.39,172.66,173.76,34808800,41.1277120239,41.7441516891,41.0943909609,41.3561993129,139235200,0.0,1.0
AAPL,2018-04-20 00:00:00+00:00,165.72,171.22,165.43,170.6,65491140,39.4426182674,40.7516600274,39.3735960655,40.6040953199,261964560,0.0,1.0
AAPL,2018-04-23 00:00:00+00:00,165.24,166.92,164.09,166.83,36515477,39.3283746229,39.7282273787,39.0546658912,39.7068066953,146061908,0.0,1.0
AAPL,2018-04-24 00:00:00+00:00,162.94,166.33,161.22,165.67,33692017,38.7809571596,39.5878028989,38.3715841001,39.4307178877,134768068,0.0,1.0
AAPL,2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084,38.9499425504,39.3712159896,38.6548131354,38.7047947299,113528336,0.0,1.0
AAPL,2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014,39.0856068783,39.4449983433,38.8833004245,39.061806119,111852056,0.0,1.0
